file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000259.spc,445.725,139.522,3413.824,60.8909,0.0000,29.2066,-5.5068
spect_000260.spc,88.349,19.810,164.179,12.7286,0.0000,1.1815,-0.5462
spect_000261.spc,430.794,103.157,1229.116,61.5141,0.0000,9.6144,-2.5009
spect_000262.spc,486.613,131.030,2336.079,68.2656,0.0000,19.3806,-3.2549
spect_000263.spc,248.723,103.563,3584.367,31.8181,0.0000,31.3966,-4.0993
spect_000264.spc,260.462,102.066,3336.427,33.8563,0.0000,29.1283,-0.9756
spect_000265.spc,388.429,115.242,2560.455,53.5969,0.0000,21.7252,-4.1646
spect_000266.spc,17.197,430.832,631.808,0.0000,10.2973,5.2540,0.5131
spect_000267.spc,212.099,91.306,3252.067,26.8816,0.0000,28.5311,-3.8963
spect_000268.spc,232.681,243.950,105.611,33.1396,4.8499,0.0000,0.3786
spect_000269.spc,188.693,79.644,2789.583,24.0483,0.0000,24.4511,-1.0031
spect_000270.spc,181.262,69.051,2192.592,23.7278,0.0000,19.1086,-5.6705
spect_000271.spc,462.795,97.447,446.786,67.2073,0.0000,2.4741,-0.6753
spect_000272.spc,58.578,67.974,3691.427,3.8313,0.0000,32.9931,-3.8992
spect_000273.spc,180.224,266.347,344.023,25.0315,5.5651,2.2927,0.3023
spect_000274.spc,82.333,46.889,2010.120,9.4732,0.0000,17.7978,0.0862
spect_000275.spc,258.969,84.027,2177.077,35.1289,0.0000,18.7100,-5.7642
spect_000276.spc,34.779,194.665,1458.241,2.5422,4.0799,12.8484,0.2809
spect_000277.spc,431.913,132.474,3130.044,59.2329,0.0000,26.7013,-4.1677
spect_000278.spc,17.980,141.134,1358.321,0.4092,2.8793,12.0491,0.2814
spect_000279.spc,446.531,154.650,171.921,64.9151,1.5921,0.0000,0.2790
spect_000280.spc,53.995,240.438,150.739,6.7852,5.6086,0.9742,0.4384
spect_000281.spc,480.029,137.411,2837.147,66.6568,0.0000,23.9075,-4.8884
spect_000282.spc,29.482,57.159,3357.019,0.0000,0.0000,30.0835,-0.2099
spect_000283.spc,507.668,103.606,275.189,74.0003,0.0000,0.7817,-0.6464
spect_000284.spc,55.428,197.473,336.894,6.9437,4.4725,2.6838,0.3489
spect_000285.spc,167.573,47.062,931.209,23.3453,0.0000,7.8135,0.0176
spect_000286.spc,116.347,68.302,2973.938,13.2152,0.0000,26.3498,-0.1778
spect_000287.spc,30.879,16.020,651.598,3.6845,0.0000,5.7554,0.0381
spect_000288.spc,284.316,98.730,2813.419,38.0228,0.0000,24.3466,-1.4960
spect_000289.spc,405.380,132.434,3466.832,54.9136,0.0000,29.8177,-4.5531
spect_000290.spc,89.088,74.439,3723.564,8.2587,0.0000,33.1803,-0.6101
spect_000291.spc,358.692,89.137,1235.433,50.9458,0.0000,9.9116,-0.9636
spect_000292.spc,491.131,98.943,182.113,71.6980,0.0000,0.0000,0.1031
spect_000293.spc,241.710,48.695,89.627,35.2861,0.0000,0.0000,0.4619
spect_000294.spc,462.957,93.267,171.666,67.5850,0.0000,0.0000,0.2045
spect_000295.spc,179.205,79.164,2879.615,22.5429,0.0000,25.2922,-0.9122
spect_000296.spc,83.912,63.622,3083.064,8.3244,0.0000,27.4390,-3.7948
spect_000297.spc,193.020,66.675,1887.005,25.8430,0.0000,16.3219,-3.2643
spect_000298.spc,243.316,75.623,1828.246,33.2850,0.0000,15.6260,-0.2031
spect_000299.spc,312.164,115.128,3528.507,41.1817,0.0000,30.6829,-1.9243
spect_000300.spc,117.632,121.600,176.356,16.6104,2.3629,1.1087,0.2907
spect_000301.spc,200.706,84.510,2953.803,25.5965,0.0000,25.8875,-3.9103
spect_000302.spc,455.401,106.599,1139.251,65.2338,0.0000,8.7244,-0.7087
spect_000303.spc,240.207,73.229,1711.618,32.9797,0.0000,14.5878,-1.3806
spect_000304.spc,65.586,377.547,218.336,7.8495,8.9065,1.4251,0.4627
spect_000305.spc,52.912,50.269,2607.264,4.3960,0.0000,23.2646,-1.2190
spect_000306.spc,346.239,114.176,3030.469,46.8131,0.0000,26.0916,-1.9961
spect_000307.spc,449.679,109.546,1405.003,64.0538,0.0000,11.1328,-2.2899
spect_000308.spc,469.890,136.058,2878.450,65.1188,0.0000,24.3126,-3.5335
spect_000309.spc,193.727,74.674,2400.557,25.2859,0.0000,20.9367,-5.3750
spect_000310.spc,88.500,42.413,1638.864,10.8539,0.0000,14.4394,-3.6789
spect_000311.spc,443.463,121.974,2296.352,61.9969,0.0000,19.1673,-2.0034
spect_000312.spc,221.109,92.287,3200.931,28.2669,0.0000,28.0413,-1.3722
spect_000313.spc,405.000,125.171,2997.164,55.4621,0.0000,25.5963,-5.2784
spect_000314.spc,450.156,133.818,2984.532,62.0920,0.0000,25.3322,-3.6920
spect_000315.spc,244.401,194.197,678.284,34.3679,3.3511,5.1633,0.2068
spect_000316.spc,415.186,84.329,198.751,60.5535,0.0000,0.4028,0.3155
spect_000317.spc,193.316,75.357,2450.394,25.1617,0.0000,21.3862,-5.4102
spect_000318.spc,297.078,112.772,3567.530,38.9220,0.0000,31.0840,-5.7316
spect_000319.spc,352.596,83.722,959.626,50.4077,0.0000,7.4522,-1.7267
spect_000320.spc,380.548,120.028,2973.937,51.9107,0.0000,25.4690,-1.6836
spect_000321.spc,25.769,49.960,2934.216,0.0000,0.0000,26.2946,-0.2624
spect_000322.spc,77.420,72.117,3721.056,6.5530,0.0000,33.1966,-1.9580
spect_000323.spc,264.785,105.119,3480.596,34.3041,0.0000,30.4101,-3.3033
spect_000324.spc,398.488,123.145,2948.140,54.5714,0.0000,25.1772,-1.2699
spect_000325.spc,143.886,42.363,927.149,19.8813,0.0000,7.8560,-1.1656
spect_000326.spc,305.136,61.473,113.145,44.5454,0.0000,0.0000,0.4661
spect_000327.spc,317.314,111.521,3226.954,42.3238,0.0000,27.9546,-1.7310
spect_000328.spc,277.324,83.371,1899.447,38.1744,0.0000,16.1527,-4.8294
spect_000329.spc,244.157,97.553,3250.187,31.5792,0.0000,28.4073,-5.0260
spect_000330.spc,35.595,69.011,4053.133,0.0000,0.0000,36.3216,-2.1498
spect_000331.spc,292.529,102.112,2929.317,39.0767,0.0000,25.3613,-1.0845
spect_000332.spc,403.797,110.379,2046.209,56.5092,0.0000,17.0506,-3.5967
spect_000333.spc,51.851,325.004,565.881,5.6161,7.5466,4.6443,0.4015
spect_000334.spc,206.045,152.966,87.336,29.6111,2.7429,0.0000,0.3264
spect_000335.spc,235.590,59.979,905.079,33.3409,0.0000,7.3518,0.0807
spect_000336.spc,225.866,160.787,95.061,32.4886,2.8371,0.0000,0.4048
spect_000337.spc,300.432,106.544,3117.733,39.9918,0.0000,27.0289,-1.0119
spect_000338.spc,416.289,83.865,154.361,60.7721,0.0000,0.0000,0.3892
spect_000339.spc,48.149,70.774,4007.755,1.8971,0.0000,35.8718,-3.7901
spect_000340.spc,26.920,52.192,3065.331,0.0000,0.0000,27.4696,-0.2292
spect_000341.spc,17.221,336.253,950.342,0.0000,7.8459,8.2056,0.4473
spect_000342.spc,423.206,129.065,3018.689,58.1010,0.0000,25.7291,-3.6797
spect_000343.spc,412.210,94.340,890.833,59.2274,0.0000,6.6350,-1.6216
