file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000268.spc,2.831,23.392,19.337,0.2977,0.5556,0.1445,1.0000
spect_000269.spc,1.936,14.123,61.068,0.1526,0.3157,0.5313,1.0000
spect_000270.spc,2.291,3.890,81.427,0.2219,0.0541,0.7225,1.0000
spect_000271.spc,4.044,7.442,39.021,0.5174,0.1492,0.3320,1.0000
spect_000272.spc,1.406,3.608,98.639,0.0716,0.0449,0.8805,1.0000
spect_000273.spc,2.381,23.637,27.205,0.2208,0.5608,0.2166,1.0000
spect_000274.spc,1.675,18.716,53.623,0.1046,0.4330,0.4610,1.0000
spect_000275.spc,2.643,2.850,77.362,0.2829,0.0283,0.6857,1.0000
spect_000276.spc,1.525,22.218,47.019,0.0762,0.5225,0.3989,1.0000
spect_000277.spc,2.612,7.210,66.607,0.2737,0.1400,0.5851,1.0000
spect_000278.spc,1.455,21.800,49.621,0.0645,0.5116,0.4229,1.0000
spect_000279.spc,3.831,19.601,10.645,0.4711,0.4606,0.0664,1.0000
spect_000280.spc,1.954,28.149,22.721,0.1450,0.6758,0.1735,1.0000
spect_000281.spc,2.978,3.154,70.576,0.3393,0.0367,0.6233,1.0000
spect_000282.spc,1.224,15.757,69.988,0.0303,0.3560,0.6124,1.0000
spect_000283.spc,4.512,4.811,37.036,0.5995,0.0828,0.3150,1.0000
spect_000284.spc,1.915,25.790,30.354,0.1396,0.6149,0.2445,1.0000
spect_000285.spc,2.297,18.438,42.649,0.2108,0.4273,0.3605,1.0000
spect_000286.spc,1.676,16.543,59.278,0.1066,0.3773,0.5138,1.0000
spect_000287.spc,1.720,18.338,53.310,0.1131,0.4235,0.4584,0.9999
spect_000288.spc,2.183,13.123,59.027,0.1956,0.2906,0.5130,1.0000
spect_000289.spc,2.493,6.689,70.185,0.2539,0.1264,0.6182,1.0000
spect_000290.spc,1.546,14.371,67.595,0.0863,0.3212,0.5911,1.0000
spect_000291.spc,2.904,12.579,46.848,0.3190,0.2783,0.4015,1.0000
spect_000292.spc,4.276,15.326,13.668,0.5504,0.3519,0.0960,1.0000
spect_000293.spc,3.298,17.316,26.378,0.3826,0.4009,0.2118,1.0000
spect_000294.spc,3.859,13.539,26.173,0.4810,0.3052,0.2115,1.0000
spect_000295.spc,1.892,14.283,61.398,0.1451,0.3197,0.5342,1.0000
spect_000296.spc,1.591,5.629,89.841,0.1014,0.0972,0.7989,1.0000
spect_000297.spc,2.294,9.689,65.998,0.2175,0.2028,0.5784,1.0000
spect_000298.spc,2.204,16.951,48.344,0.1962,0.3889,0.4134,1.0000
spect_000299.spc,2.129,12.169,62.607,0.1872,0.2660,0.5462,1.0000
spect_000300.spc,2.545,22.409,27.311,0.2498,0.5297,0.2181,1.0000
spect_000301.spc,2.055,7.988,75.021,0.1781,0.1586,0.6620,1.0000
spect_000302.spc,3.129,12.333,43.310,0.3575,0.2725,0.3692,1.0000
spect_000303.spc,2.379,13.242,54.753,0.2293,0.2942,0.4738,0.9999
spect_000304.spc,1.871,29.043,22.503,0.1294,0.6983,0.1711,1.0000
spect_000305.spc,1.500,12.204,74.115,0.0804,0.2656,0.6518,1.0000
